ID,Timestamp,Avg_rating,Total_answers,Total_ratings,Answer,Num_options,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Explanation,Tags
6984174,8/10/2024 9:49,4,10,10,D,5,"<p>The BePolite function is intended to add ""please"" to the end of an existing string. What is printed when the function is called in the following code?</p><p>&nbsp;</p><p><br /><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">void BePolite(char *word)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;int endStr=0;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;while (word[endStr] != '\0') {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; endStr++;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+1]='p';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+2]='l';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+3]='e';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+4]='a';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+5]='s';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+6]='e';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;word[endStr+7]='\0';</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;char word[]=""Answer the question"";</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;BePolite(word);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;printf(""%s"", word);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp;return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Answer the question please</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Answer the questionplease</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Answer the questionplease\0</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Answer the question</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Answer the question\0please\0</span></p>","<p>The code does not print out ""please"" at the end of the string because there is a null character <span style=""font-family: 'courier new', courier, monospace;"">'\0'</span> before this point that signals the end of the string.</p><p>&nbsp;</p><p>Initially the string ""word"" contains:&nbsp;<span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1"">Answer the question\0</span></span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: arial, helvetica, sans-serif;"" data-mce-mark=""1"">The while loop in BePolite finds the position of this null character, and the characters</span> 'p' 'l' 'e' 'a' 's' 'e' '\0' <span style=""font-family: arial, helvetica, sans-serif;"">are added after this null character.</span></span></span></span></span></span><br /></span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: 'courier new', courier, monospace;"" data-mce-mark=""1""><span style=""font-family: arial, helvetica, sans-serif;"">This means the string contains:</span>&nbsp;Answer the question\0please\0</span></span></span></span></span></span></p><p>&nbsp;</p><p><span style=""font-family: arial, helvetica, sans-serif;"" data-mce-mark=""1""><span data-mce-mark=""1""><span data-mce-mark=""1""><span data-mce-mark=""1""><span data-mce-mark=""1""><span data-mce-mark=""1"">The null character signals the end of the string, so only the characters to the left of the first null character are printed.</span></span></span></span></span></span></p>",strings
6984189,8/10/2024 10:03,4,6,6,C,4,"<p>// What is the output produced by the following code?</p><p><br />#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void) {</p><p>&nbsp;</p><p>&nbsp; int a, b, c, d;<br />&nbsp; a = 13-7.5;<br />&nbsp; b = (a &gt; 5);<br />&nbsp; c = (18 - 4 &gt; 10 &gt; 2 || 12 &gt; 12);<br />&nbsp; d = (c == 0);</p><p>&nbsp;</p><p>&nbsp; printf(""a = %d, b = %d, c = %d, d = %d"", a, b, c, d);</p><p>&nbsp;</p><p>&nbsp; return 0;</p><p>}</p>","<p>a = 5.5, b = 1, c = 0, d = 1</p>","<p>a = 5.5, b = 1, c = 1, d = 0</p>","<p>a = 5, b = 0, c = 0, d = 1</p>","<p>a = 6, b = 1, c = 1, d = 0</p>",,"<p>since 'a' is initialised to be an integer value, when the subtraction is performed 'a' will store the INTEGER PART of the answer which is 5.</p><p>'b' would therefore store the value of 0 as 5&gt;5 is false.</p><p>'c' equals to 0 as relational operations are performed from left to right: 18-4 = 4, 4 is not &gt; 10 and returns false(which = 0), 0 is not &gt; 2 and returns false. 12 is also not &gt; 12 and also returns false and c = 0.</p><p>'d' would therefore be 1 as c does equal to 0 and the relation is true.</p><p>&nbsp;</p>",arithmetic
6984190,8/10/2024 10:04,0,2,0,C,5,"<p>Consider the code below. What is the output?</p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">void Capitalise(char string[])</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int i;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; for (i = 0; string[i] != '\0'; i++)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; string[i] = string[i] - 32;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">{</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; char *A, *B; </span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; char a[] = ""hello world"";</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; char b[] = ""hello"";</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;&nbsp;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; A = a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; B = b;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; Capitalise(A);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; Capitalise(B);</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""Result: %s %s"", a, b);</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: hello hello</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: hello world hello</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: HELLO HELLO</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: HELLO WORLD HELLO</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: HELLO WORLD hello</span></p>","<p>The only correct answer is <strong>C</strong>.</p><p>This is because <span style=""font-family: 'courier new', courier, monospace;"">A</span> and <span style=""font-family: 'courier new', courier, monospace;"">B</span> are pointers to the strings(character arrays) of <span style=""font-family: 'courier new', courier, monospace;"">a</span> and <span style=""font-family: 'courier new', courier, monospace;"">b</span>. As <span style=""font-family: 'courier new', courier, monospace;"">a</span> and <span style=""font-family: 'courier new', courier, monospace;"">b</span>&nbsp;passed into the function <span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: 'courier new', courier, monospace;"">Capitalise <span style=""font-family: arial, helvetica, sans-serif;"">by reference&nbsp;</span></span></span>when they are passed into the function a copy is NOT made and the arrays are directly edited via the pointer.</p><p>Once we know the arrays are the directly edited we can know the answers could only be <strong>C</strong> or <strong>D</strong>. From there when you go through each step of the array the loop will minus 32 off every ASCII table value. When this occurs all the lower case letters become their respective upper case. But the space in array becomes the null character '<span style=""font-family: 'courier new', courier, monospace;"">\0</span>'. Due to the null character signifying the end of a string, no matter what is after, when <span style=""font-family: 'courier new', courier, monospace;"">a</span> is printed it will only print up to that character (essentially only printing the 1st word). Therefore when array a is printed&nbsp; it will now print <span style=""font-family: 'courier new', courier, monospace;"">HELLO</span>. Array <span style=""font-family: 'courier new', courier, monospace;"">b</span> is not effected by this issue as it has no space characters so only will print <span style=""font-family: 'courier new', courier, monospace;"">HELLO</span>. So we know the answer can only be <strong>C</strong> printing<span style=""font-family: 'courier new', courier, monospace;""> Result: HELLO HELLO.</span></p>","Call By Reference, Pointers, functions, strings"
6984194,8/10/2024 10:05,0,0,0,E,5,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>int x[6] = {1, 6, 3, 8, 2, 7};</p><p>int i;</p><p>&nbsp;</p><p>x[ (x[ 1 ] + x[ 3 ]) % ( x[ 2 ] ) ] = x[ 5 ] ;</p><p>&nbsp;</p><p>x[ x[ 2 ] - x[ 5 ] ] = 5;</p><p>&nbsp;</p><p>printf(""Result = "");</p><p>&nbsp;</p><p>for (i = 0;&nbsp; i &lt; length - 1; i ++) {</p><p>&nbsp; &nbsp; &nbsp; printf(""%d "", x[length - 1 - i])</p><p>}</p><p>&nbsp;</p>",<p>Result = 5 6 7 8 2</p>,<p>Result = 1 6 7 8 2 7</p>,<p>Result = 5 6 7 8 2 7</p>,<p>Result = 7 2 8 7 6 5</p>,<p>Result = 7 2 8 7 6</p>,"<p>In the first assigning statement where&nbsp;x[ (x[ 1 ] + x[ 3 ]) % ( x[ 2 ] ) ] = x[ 5 ] ;</p><p>x[1] = 6 and x[3] = 8, so it equals 6 + 8 = 14,&nbsp;</p><p>x[2] = 3, so the statement is 14 % 3, which leaves a remainder of 2,</p><p>So x[2] becomes x[5], so x[2] = 7 after this statement has been executed, resulting in the array {1,6,_7_,8,2,7} where _7_ was changed</p><p>&nbsp;</p><p>In the second assignment statement x[2] is now 7 and x[5] = 7, so 7 - 7 = 0, meaning x[0] = 5,</p><p>The array is now {5,6,7,8,2,7}</p><p>&nbsp;</p><p>In the printing statements Result = is first printed and then the for loop goes from i = 0 till i = 4, as i must be LESS than i = length - 1, (or 6 - 1)</p><p>So i goes from 0 till 4, and the next print statement prints in reverse order from x[length - 1 - i] so first x[6-1] = x[5] is printed, which is 7</p><p>Then i = 1, so x[6-1-1] = x[4] is printed, which is 2.</p><p>This carries on until i = 4, so x[6 - 1 - 4] = x[1] is printed which is 6, so the output is ""Result = 7 2 8 7 6""</p><p>&nbsp;</p><p>&nbsp;</p>","loop, arrays, indexing"
6984204,8/10/2024 10:16,3.86,10,7,C,5,"<p>#define _CRT_SECURE_NO_WARNINGS<br />#include &lt;stdio.h&gt;<br />#include &lt;string.h&gt;</p><p>&nbsp;</p><p>void foo(char *quote) {<br />&nbsp; &nbsp; int i = 0;<br />&nbsp; &nbsp; for (i = 0; i &lt; strlen(quote); i++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; if (quote[i] &gt;= 65 &amp;&amp; quote[i] &lt;= 90) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; quote[i] += 32;<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; }</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; else {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; continue;<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; }</p><p>&nbsp;</p><p>int main(void) {<br />&nbsp; &nbsp; char input[100];<br />&nbsp; &nbsp; printf(""Input a message: \n"");<br />&nbsp; &nbsp; scanf(""%s"", input);<br />&nbsp; &nbsp; foo(input);<br />&nbsp; &nbsp; printf(""%s"", input);<br />&nbsp; &nbsp; }</p><p>&nbsp;</p><p>In this code, if the user has input ""I LOVE ENGGEN 131"",</p><p>What would be the output?</p>",<p>i love enggen 131</p>,<p>I</p>,<p>i</p>,<p>Error: return type 'void'</p>,<p>I LOVE ENGGEN 131</p>,"<p>When a string is passed into the scanf function, it takes the input until it reaches a space. (A contrary function to scanf, would be fgets which effectively scans the whole input string.) This effectively makes that the only ""string"" that was passed in to the foo function is the first word ""I"". The foo function decapitalizes the input, and thus returns i.&nbsp;</p>","loop, data types, Return types, Format specifiers, strings"
6984217,8/10/2024 10:23,2.33,5,3,D,5,"<p>What is the output of the following code:</p><p>&nbsp;</p><p>int x;</p><p>x = (13 + 12 % ((7 + 2) % 4 * 3) - 6 / 4 - 2) % 13;</p><p>printf(""Answer = %d"", x);</p><p>&nbsp;</p><p>&nbsp;</p>",<p>Answer = 13</p>,<p>Answer = 4</p>,<p>Answer = 9</p>,<p>Answer = 10</p>,<p>Answer = 0</p>,"<p>10 is the answer; in C, the modulo operator % has the same precedence as multiplication * and division /, so when in series they should be performed from left to right. Additionally, as we are dealing with integer arithmetic, 6/4 will be floor functioned to int 1 rather than the double 1.5</p>","data types, arithmetic, Integer arithmetic"
6984230,8/10/2024 10:37,4.17,8,6,A,5,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; int a = 10;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; int b = 4;<br />&nbsp; &nbsp; &nbsp; &nbsp; double c = 5.125;<br />&nbsp; &nbsp; &nbsp; &nbsp; double d;</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; d = a / b * c;</p><p><br />&nbsp; &nbsp; &nbsp; &nbsp; printf(""Result = %.1f"", d);<br /><br /></p>",<p>&nbsp;&nbsp;Result = 10.2</p>,<p>Result = 10.25</p>,<p>Result = 10</p>,<p>Result = 12.8</p>,<p>Result = 12.8125</p>,"<p>Because both a and b are of type int, when they are divided, the result is of type int. Thus, it has no decimal part, = 2. Then it is multiplied by c, which is type double, resulting in 10.25. It is then displayed using %.1f, which only shows the first decimal point due to the .1.</p>","arithmetic, Integer arithmetic"
6984234,8/10/2024 10:38,4.33,3,3,B,5,"<p><span style=""font-family: arial, helvetica, sans-serif;"">What is the output of the following code?</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">void updateArray(int *arr, int size) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; for (int i = 0; i &lt; size; i++) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; arr[i] = arr[(i + 2) % size] * 2 - i;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int values[6] = {5, 10, 15, 20, 25, 26};</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; updateArray(values, 6);</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""Result: "");</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; for (int i = 0; i &lt; 6; i++) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; printf(""%d "", values[i]);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: 10 19 18 17 34 33</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: 30 39 48 49 56 73<br /></span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: 4 5 6 7 -4 -3</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">Result: 30 39 52 55 56 73</span></p>",<p>An Out of Bounds Error will occur.</p>,"<p>Working step by step through the loop, we will get:</p><p>&nbsp;</p><p><strong>i = 0;<br /></strong>Index:</p><p>arr[(i + 2) % size]</p><p>arr[(0 + 2) % 6] = arr[2]</p><p>&nbsp;</p><p>Update:</p><p>arr[0] = arr[2] * 2 - i</p><p>arr[0] = 15 * 2 - 0 = 30</p><p><br /><strong>i = 1:</strong></p><p>arr[(i + 2) % size]</p><p>arr[(1 + 2) % 6] = arr[3]</p><p>&nbsp;</p><p>Update:<br />arr[1] = arr[3] * 2 - i</p><p>arr[1] = 20 * 2 - 1</p><p>arr[1] = 39</p><p>&nbsp;</p><p>&nbsp;</p><p><strong>i = 2:</strong></p><p>arr[(i + 2) % size]</p><p>arr[(2 + 2) % 6] = arr[4]</p><p>&nbsp;</p><p>Update:</p><p>arr[2] = arr[4] * 2 - i</p><p>arr[2] = 25 * 2 - 2</p><p>arr[2] = 48</p><p>&nbsp;</p><p><br /><strong>i = 3:</strong></p><p>arr[(i + 2) % size]</p><p>arr[(3 + 2) % 6] = arr[5]</p><p><br />Update:</p><p>arr[3] = arr[5] * 2 - i</p><p>arr[3] = 26 * 2 - 3</p><p>arr[3]= 49</p><p>&nbsp;</p><p><br /><strong>i = 4:</strong></p><p>arr[(i + 2) % size]</p><p>arr[(4 + 2) % 6] = arr[0]</p><p><br />Update:</p><p>arr[4] = arr[0] * 2 - i</p><p>arr[4] = 30 * 2 - 4</p><p>arr[4] = 56</p><p>&nbsp;</p><p><br /><strong>i = 5:</strong></p><p>arr[(i + 2) % size]</p><p>arr[(5 + 2) % 6] = arr[1]</p><p><br />Update:</p><p>arr[5] = arr[1] * 2 - i</p><p>arr[5] = 39 * 2 - 5</p><p>arr[5] = 73</p>","loop, functions, arithmetic, arrays, indexing"
6984272,8/10/2024 11:22,3.5,5,4,B,5,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>int numbers[] = {0, 1, 2, 3, 4, 5};<br />char letters[] = {97, 98, 99, 100, 101, 102};</p><p>&nbsp;</p><p>for (int i = 0; i &lt; 5; i++) {<br />printf(""%i = %c\n"", numbers[i], letters[i]);<br />i++;</p><p>}</p>",<p>0 = 97</p><p>1 = 98</p><p>2 = 99</p><p>3 = 100</p><p>4 = 101</p><p>&nbsp;</p>,<p>0 = a</p><p>2 = c</p><p>4 = e</p>,<p>0 = a</p><p>1 = b</p><p>2 = c</p><p>3 = d</p><p>4 = e</p>,<p>1 = b</p><p>3 = d</p>,<p>0 = 97</p><p>2 = 99</p><p>4 = 101</p>,"<p>The 'letters' array is saved as a char which means the numbers inside are representing their ascii equivalents.</p><p>the for loop will add 1 to i after each iteration, however, inside the loop is also an 'i++' statement. This means each time through the loop the i will increase by 2.</p>","loop, data types, arrays, indexing"
6984275,8/10/2024 11:28,1.5,2,2,B,5,"<p>What is outputted when the following code is run?<br /><br /><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main() {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int i = 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int sum = 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int limit = 50;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">while (i &lt;= 20) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">if (i % 3 == 0 &amp;&amp; i % 5 == 0) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">i += 2;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">continue;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">} else if (i % 3 == 0) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">i += 3;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">} else if (i % 5 == 0) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">i += 5;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">} else {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">i++;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">sum += i;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">printf(""i = %d, sum = %d\n"", i, sum);</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">if (sum &gt; limit) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">printf(""Loop terminated because the sum exceeded the limit of %d\n"", limit);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">break;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p>i = 3, sum = 3<br />i = 5, sum = 8<br />i = 8, sum = 16<br />i = 11, sum = 27<br />i = 15, sum = 42<br />Loop terminated because the sum exceeded the limit of 50</p>","<p>i = 3, sum = 3<br />i = 6, sum = 9<br />i = 9, sum = 18<br />i = 12, sum = 30<br />i = 15, sum = 45<br />i = 18, sum = 63<br />Loop terminated because the sum exceeded the limit of 50</p>","<p>i = 2, sum = 2<br />i = 4, sum = 6<br />i = 6, sum = 12<br />i = 8, sum = 20<br />i = 10, sum = 30<br />Loop terminated because the sum exceeded the limit of 50</p>","<p>i = 1, sum = 1<br />i = 2, sum = 3<br />i = 3, sum = 6<br />i = 4, sum = 10<br />i = 5, sum = 15<br />i = 6, sum = 21<br />Loop terminated because the sum exceeded the limit of 50</p>","<p>i = 3, sum = 3<br />i = 6, sum = 6<br />i = 9, sum = 9<br />i = 12, sum = 12<br />i = 15, sum = 15<br />i = 18, sum = 18<br />Loop terminated because the sum exceeded the limit of 50</p>","<p>The loop starts with i = 0 and sum = 0.<br />First Ioop: i = 0 is divisible by both 3 and 5, so it's skipped with i += 2.<br />Second loop: i = 2 is incremented by 1 to become i = 3. The sum becomes sum = 3.<br />Third loop: i = 3 is divisible by 3, so it's incremented to i = 6. The sum becomes sum = 9.<br />Fourth loop: i = 6 is incremented by 3 to become i = 9. The sum becomes sum = 18.<br />Fifth loop: i = 9 is incremented by 3 to become i = 12. The sum becomes sum = 30.<br />Sixth loop: i = 12 is incremented by 3 to become i = 15. The sum becomes sum = 45.<br />Seventh loop: i = 15 is incremented by 3 to become i = 18. The sum becomes sum = 63, which exceeds the limit of 50, terminating the loop.</p><p>&nbsp;</p>","Nested Loops, loop, if statement"
6984280,8/10/2024 11:37,2.8,6,5,D,4,"<p>What is the output for the following code?</p><p>&nbsp;</p><p>int main() {<br />&nbsp; &nbsp; &nbsp;int total = 0;</p><p>&nbsp; &nbsp; &nbsp;for (int i = 1; i &lt;= 3; i++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; for (int j = 1; j &lt;= 3; j++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;total += i * j;<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; &nbsp;}</p><p><br />printf(""%d"", total);<br />return 0;<br />}</p>",<p>9</p>,<p>18</p>,<p>27</p>,<p>36</p>,,<p>total = (1 * 1) +&nbsp;(1 * 2) +&nbsp;(1 * 3) +&nbsp;(2 * 1) +&nbsp;(2 * 2) +&nbsp;(2 * 3) +&nbsp;(3 * 1) +&nbsp;(3 * 2) +&nbsp;(3 * 3) = 36</p>,"Nested Loops, loop, arithmetic, Integer arithmetic"
6984281,8/10/2024 11:37,3.67,18,9,A,5,"<p>#include &lt;stdio.h&gt;</p><p>void updateValue(int *a, int b) {<br />*a = b * 2;<br />}</p><p>int main(void) {<br />int x = 5;<br />int y = 3;<br />updateValue(&amp;x, y);<br />printf(""x = %d, y = %d\n"", x, y);<br />return 0;<br />}</p>","<p>x = 6, y = 3</p>","<p>x = 10, y = 3</p>","<p>x = 5, y = 6</p>","<p>x = 3, y = 3</p>","<p>x = 5, y = 5</p>","<p>Correct Answer:<br />(a) x = 6, y = 3</p><p>&nbsp;</p><p>Explanation:<br />The function updateValue has two parameters: a pointer to an integer (*a) and an integer (b).</p><p><br />In the function call updateValue(&amp;x, y), we are passing the address of x to the parameter *a, meaning any changes to *a will directly modify the value of x. We are also passing the value of y as the second parameter b.</p><p><br />Inside the function, the statement *a = b * 2; changes the value of x to 6 because b is 3 and 3 * 2 equals 6.</p><p><br />The value of y does not change because it is passed by value, meaning only a copy of y is used in the function, and the original value remains unaffected.</p><p><br />Why the Other Answers Are Incorrect:<br />(b) x = 10, y = 3: This would be correct if the function directly modified x using its own value rather than b.<br />(c) x = 5, y = 6: This answer incorrectly suggests that y would change, which is not possible as y is passed by value.<br />(d) x = 3, y = 3: This answer implies that the pointer did not modify the value of x, which is not the case.<br />(e) x = 5, y = 5: This answer is based on the idea that the values might be swapped, which is not happening in this function.</p>","Call By Reference, Call by Value, Pointers, data types, functions"
